all score
85.1
72.4
74.3
76.7
71.8
78.2
72.8
74.6
70.9
69.7
77.9
69.6
73.2
74.6
75
71.7
74.7
73.8
71
70
75.9
71.5
76.4
75.5
75.9
75.6
80.6
74.1
73.3
69.9
76.4
76.3
70.6
71.8
68.9
70
70.3
70.1
72.3
74.1
74.6
72
71.8
81.3
71.3
74
77.1
69.8
77.2
71.4
73.8
72
69.3
77.7
70.1
74.4
75.6
74.2
71.5
73.6
71.7
71.1
70.1
76.8
72.2
77.9
73.5
75.8
75
80.5
75.2
72.7
69.4
75.4
76.4
71.9
71.5
68.9
69.4
69.8
69.8
72.1
73.8
74.7
71.3
71.5
76.5
71.6
73.3
77.2
69.8
77.4
66.4
73.4
71.5
68
77.5
71.2
73.9
74.4
73.1
71.7
72.6
71
69.9
70.1
75.9
70.7
78.9
73.9
75.1
73.1
78.4
73.4
70.3
68.4
73.9
75
70.7
70.7
67.9
68.8
68.8
68.6
71.3
73
74
70.5
70.7
